Page,Title,Brand,Reference,Category,Subcategory,Availability,PriceHT,PriceTTC,SalePriceHT,SalePriceTTC,DiscountPercentage,ID,dateDebutPromo,dateFinPromo,product url,EAN
1,Dinosaure T-Rex Nostalgia - Jurassic Park,Mattel,926288,Jeux d'imitation & Mondes imaginaires,Figurines,Available in central stock,58.33,69.99,29.16,34.99,50.0,252672,2025-01-16T00:00:00,2025-12-31T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dimitation--mondes-imaginaires/figurines/ref-926288-dinosaure-t-rex-nostalgia---jurassic-park.htm,194735115587.0
1,Coffret Casier Secret Skulltimates Secrets Monster High - Abbey Bominable,Mattel,969539,Poupées Poupons,Barbie et poupées mannequin,Available in central stock,38.33,45.99,35.83,42.99,7.0,307339,2025-03-17T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/poupees-poupons/barbie/ref-969539-coffret-casier-secret-skulltimates-secrets-monster-high---abbey-bominable.htm,194735230631.0
1,Trotteur bébé Dino Eco +,Chicco,946419,Jeux d'éveil,Porteurs & Jouets à bascules,Available in central stock,39.16,46.99,27.41,32.89,30.0,283193,2025-01-08T00:00:00,2025-12-31T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-deveil/porteurs/ref-946419-trotteur-bebe-dino-eco-+.htm,N/A
1,Peluche Mon Lapin Super Dodo,Fisher Price,969532,Peluches,Peluches interactives,Available in central stock,34.16,40.99,33.33,39.99,2.0,307258,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/peluches/peluches/ref-969532-peluche-mon-lapin-super-dodo.htm,194735229659.0
1,Maison nature et cuisine d'été - Smoby Life,Smoby,982840,Jeux d'extérieur,Cabanes et maisonnettes,Available in central stock,124.99,149.99,108.33,129.99,13.0,320444,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/cabanes/ref-982840-maison-nature-et-cuisine-dete---smoby-life.htm,3032168107397.0
1,77242 - LEGO® Speed Champions - Voiture F1® Ferrari SF-24,LEGO,980602,Jeux de construction,"Lego, briques et blocs",Available in central stock,22.49,26.99,20.83,24.99,7.0,317952,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-de-construction/lego/ref-980602-77242---lego®-speed-champions---voiture-f1®-ferrari-sf-24.htm,5702017816098.0
1,Bac à sable en plastique coquillage avec couvercle,SUN and SPORT,901584,Jeux d'extérieur,Bacs à sable,Available in central stock,19.16,22.99,16.66,19.99,13.0,253664,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/bacs/ref-901584-bac-a-sable-en-plastique-coquillage-avec-couvercle.htm,8053735011577.0
1,Sonnette électronique pour maison Smoby,Smoby,958118,Jeux d'extérieur,Pièces détachées,Available in central stock,8.33,9.99,6.66,7.99,20.0,294988,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/pieces/ref-958118-sonnette-electronique-pour-maison-smoby.htm,3032168109179.0
1,Maison Smoby Life Friends House Evo éco-responsable,Smoby,982844,Jeux d'extérieur,Cabanes et maisonnettes,Available in central stock,316.66,379.99,283.33,339.99,11.0,320370,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/cabanes/ref-982844-maison-smoby-life-friends-house-evo-eco-responsable.htm,3032168102064.0
1,Super pack jardin 3 en 1,Ecoiffier,920924,Jeux d'extérieur,Jeux et outils de jardinage,Available in central stock,30.83,36.99,24.99,29.99,19.0,246634,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/jeux/ref-920924-super-pack-jardin-3-en-1.htm,3280250045854.0
